Timestamp,Please tick this box to begin the survey,In which school or unit are you most strongly affiliated?,Do you consider yourself a research software engineer (RSE)?,What is your job title?,"Does your lab use or develop any open source software, or services?","List the top open source libraries that you use (GitHub or other version control address, one per line). ","List any software that is created or managed by your group or lab (GitHub or similar web addresses, one per line)",Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training for software engineering best practices?,Would you be interested in getting help from Research Software Engineering Services to work on some of your research software?,How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from RSE Services]
2020/11/09 4:35:51 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Humanities & Sciences,Yes,Research Software Engineer / Information Systems Specialist,No,,,Yes,4,Yes,4,No,No,Confident,Confident,Confident,1,Yes,Yes,Suitable,Suitable
2020/11/11 8:10:35 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Engineering,No,,No,,,Yes,5,Yes,3,Yes,Yes,Confident,Not confident,Not confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/11/11 10:12:14 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",Vice Presidency for the Arts at Stanford,Yes,Marketing Manager,No,,,No,4,No,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/11 10:15:08 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,No,Sr computational & optical systems engineer,Yes,github,https://github.com/deisseroth-lab,Yes,5,Yes,3,No,Yes,Confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/11 10:25:49 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Humanities & Sciences,No,Classics PhD student ,I don't know,,,Yes,5,Yes,1,No,Yes,Not confident,Not confident,Not confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2020/11/11 10:40:34 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,No,,Yes,,"Prism, microsoft office, adobe",Yes,5,No,,,,,,,,No,No (I'm not involved in writing funding proposals),,
2020/11/11 10:53:54 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",Dean of Research,Yes,Software Lead (Software Developer 2 in the University's classification system),Yes,"https://github.com/qgis/QGIS
https://github.com/OSGeo/gdal
https://github.com/python/cpython
https://github.com/numpy/numpy
https://github.com/scipy/scipy
https://github.com/Toblerity/Shapely
https://github.com/electron/electron
https://github.com/nodejs/node
https://github.com/facebook/react","https://github.com/natcap/invest
https://github.com/natcap/pygeoprocessing/
https://github.com/natcap/taskgraph/",Yes,3,Yes,4,Yes,Yes,Very confident,Very confident,Very confident,3,Yes,Yes;No (I'm not involved in writing funding proposals),Perfect,Suitable
2020/11/11 11:24:10 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",ChEM-H/DoR,No,Director,Yes,"rdkit (python - it's available via Anaconda)
R
KNIME",,Yes,5,No,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2020/11/11 12:11:16 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,No,Research Engineer,Yes,"https://github.com/singularityware
https://github.com/jupyterlab/jupyterlab
https://github.com/pyenv/pyenv
https://github.com/nipreps/fmriprep
https://github.com/nipy/nipype
open source data science ecosystem (pandas, numpy, scikit-learn, etc)
open source database  tools (sqlite, sqlalchemy, etc)",(none open source),Yes,5,Yes,4,No,Yes,Confident,Not confident,Confident,1,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
2020/11/11 12:30:18 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Humanities & Sciences,No,PhD Candidate,Yes,,,Yes,4,No,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
